function,count,total_duration_ns,mean_ns,variance_us
iommu_map,527,11286525,21416.56,4.08
__iommu_map,873,4833935,5537.15,10.21
intel_iommu_iotlb_sync_map,810,3870135,4777.94,-3.63
__iommu_unmap,614,3234653,5268.16,-3.96
intel_iommu_tlb_sync,614,3937992,6413.67,-4.55
